epochs hidden_layers neurons learning_rate batch_size dropout
1280 6 5120 3.162277660168379e-06 64 0.1
640 6 5120 3.162277660168379e-06 256 0.1
1280 5 5120 1e-05 64 0.1
2560 6 4096 1e-05 256 0.1
640 5 4096 3.1622776601683795e-05 64 0.1
1280 5 4096 1e-05 256 0.1
1280 4 5120 1e-05 256 0.1
640 6 4096 3.162277660168379e-06 64 0.1
1280 6 5120 1e-05 64 0.1
2560 4 5120 3.1622776601683795e-05 64 0.1
640 6 4096 3.1622776601683795e-05 256 0.1
1280 5 4096 3.162277660168379e-06 128 0.1
1280 5 7168 1e-05 256 0.1
1280 4 7168 3.1622776601683795e-05 128 0.1
2560 5 5120 3.162277660168379e-06 64 0.1
1280 6 5120 1e-05 256 0.1
1280 6 7168 3.162277660168379e-06 64 0.1
640 6 7168 3.1622776601683795e-05 64 0.1
640 4 5120 3.162277660168379e-06 256 0.1
640 4 7168 3.1622776601683795e-05 256 0.1
640 4 5120 3.1622776601683795e-05 64 0.1
2560 4 5120 3.162277660168379e-06 128 0.1
640 6 7168 3.162277660168379e-06 64 0.1
2560 6 7168 1e-05 128 0.1
1280 6 4096 3.162277660168379e-06 256 0.1
640 6 4096 1e-05 256 0.1
1280 4 5120 3.1622776601683795e-05 128 0.1
2560 5 7168 1e-05 256 0.1
2560 5 5120 1e-05 256 0.1
640 4 7168 3.1622776601683795e-05 128 0.1
1280 4 5120 3.162277660168379e-06 256 0.1
640 4 5120 3.162277660168379e-06 128 0.1
640 6 5120 3.162277660168379e-06 128 0.1
640 5 4096 3.1622776601683795e-05 128 0.1
1280 5 4096 3.162277660168379e-06 256 0.1
1280 4 4096 1e-05 256 0.1
640 6 7168 1e-05 256 0.1
2560 4 7168 3.1622776601683795e-05 64 0.1
1280 6 4096 3.162277660168379e-06 128 0.1
640 6 5120 1e-05 64 0.1
640 5 5120 3.162277660168379e-06 128 0.1
640 6 5120 3.162277660168379e-06 64 0.1
640 5 7168 3.162277660168379e-06 128 0.1
1280 5 7168 3.162277660168379e-06 64 0.1
2560 6 5120 3.1622776601683795e-05 128 0.1
1280 4 5120 3.162277660168379e-06 64 0.1
1280 6 4096 3.162277660168379e-06 64 0.1
640 4 5120 1e-05 256 0.1
1280 6 7168 3.1622776601683795e-05 64 0.1
2560 4 7168 3.1622776601683795e-05 128 0.1
2560 6 4096 1e-05 128 0.1
640 6 7168 3.1622776601683795e-05 128 0.1
1280 5 5120 1e-05 128 0.1
